DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10204,203,10204,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10205,204,10205,2.6284864011331517,0,83399993099453.62,0,0,2,2
10206,205,10206,2.6284864011331517,0,90000000000,0,0,2,2
10207,206,10207,2.6284864011331517,0,90000000000,0,0,2,2
10208,207,10208,2.628486401133145,0,-150119987579016.53,0,0,2,2
10209,208,10209,2.6284864011331397,0,-187649984473770.66,0,0,2,2
10210,209,10210,2.628486401133164,0,40941814794277.234,0,0,2,2
10211,210,10211,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10212,211,10212,2.628486401133164,0,40941814794277.234,0,0,2,2
10213,212,10213,2.6284864011331326,0,-31715490333595.043,0,0,2,2
10214,213,10214,2.6284864011331517,0,52367437527563.91,0,0,2,2
10215,214,10215,2.6284864011331517,0,90000000000,0,0,2,2
10216,215,10216,2.6284864011331517,0,90000000000,0,0,2,2
10217,216,10217,2.6284864011331517,0,90000000000,0,0,2,2
10218,217,10218,2.6284864011331397,0,-83399993099453.62,0,0,2,2
10219,218,10219,2.6284864011331575,0,56294995342131.2,0,0,2,2
10220,219,10220,2.6284864011331397,0,-56294995342131.2,0,0,2,2
10221,220,10221,2.628486401133164,0,40941814794277.234,0,0,2,2
10222,221,10222,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10223,222,10223,2.6284864011331517,0,83399993099453.62,0,0,2,2
10224,223,10224,2.628486401133145,0,-150119987579016.53,0,0,2,2
10225,224,10225,2.6284864011331517,0,150119987579016.53,0,0,2,2
10226,225,10226,2.6284864011331517,0,90000000000,0,0,2,2
10227,226,10227,2.6284864011331517,0,90000000000,0,0,2,2
10228,227,10228,2.6284864011331517,0,90000000000,0,0,2,2
10229,228,10229,2.6284864011331326,0,-52367437527563.91,0,0,2,2
10230,229,10230,2.628486401133164,0,31715490333595.043,0,0,2,2
10231,230,10231,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10232,231,10232,2.6284864011331517,0,83399993099453.62,0,0,2,2
10233,232,10233,2.6284864011331517,0,90000000000,0,0,2,2
10234,233,10234,2.628486401133145,0,-150119987579016.53,0,0,2,2
10235,234,10235,2.6284864011331517,0,150119987579016.53,0,0,2,2
10236,235,10236,2.6284864011331517,0,90000000000,0,0,2,2
10237,236,10237,2.6284864011331517,0,90000000000,0,0,2,2
10238,237,10238,2.6284864011331397,0,-83399993099453.62,0,0,2,2
10239,238,10239,2.628486401133164,0,40941814794277.234,0,0,2,2
10240,239,10240,2.6284864011331326,0,-31715490333595.043,0,0,2,2
10241,240,10241,2.628486401133164,0,31715490333595.043,0,0,2,2
10242,241,10242,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10243,242,10243,2.6499884501394835,0,46.507195649352695,0,0,2,2
10244,243,10244,2.6905915573384296,0,24.628656991698307,0,0,2,2
10245,244,10245,2.6904351065447987,0,-6391.786048456376,0,0,2,2
10246,245,10246,2.6904351065447862,0,-80421421917330.28,0,0,2,2
10247,246,10247,2.6904351065447987,0,80421421917330.28,0,0,2,2
10248,247,10248,2.6904351065447956,0,-321685687669321.1,0,0,2,2
10249,248,10249,2.6904351065447862,0,-107228562556440.38,0,0,2,2
10250,249,10250,2.6904351065447987,0,80421421917330.28,0,0,2,2
10251,250,10251,2.6904351065447987,0,90000000000,0,0,2,2
10252,251,10252,2.6904351065447862,0,-80421421917330.28,0,0,2,2
10253,252,10253,2.6904351065447987,0,80421421917330.28,0,0,2,2
10254,253,10254,2.6904351065447956,0,-321685687669321.1,0,0,2,2
10255,254,10255,2.690435106544789,0,-150119987579016.53,0,0,2,2
10256,255,10256,2.6904351065447956,0,150119987579016.53,0,0,2,2
10257,256,10257,2.6904351065447987,0,321685687669321.1,0,0,2,2
10258,257,10258,2.6904351065447862,0,-80421421917330.28,0,0,2,2
10259,258,10259,2.6904351065447987,0,80421421917330.28,0,0,2,2
10260,259,10260,2.6904351065447987,0,90000000000,0,0,2,2
10261,260,10261,2.690435106544797,0,-562949953421312.0,0,0,2,2
10262,261,10262,2.6904351065447862,0,-93824992236885.33,0,0,2,2
10263,262,10263,2.6904351065447987,0,80421421917330.28,0,0,2,2
10264,263,10264,2.690435106544797,0,-562949953421312.0,0,0,2,2
10265,264,10265,2.6904351065447862,0,-93824992236885.33,0,0,2,2
10266,265,10266,2.6904351065447987,0,80421421917330.28,0,0,2,2
10267,266,10267,2.6904351065447987,0,90000000000,0,0,2,2
10268,267,10268,2.6904351065447845,0,-70368744177664.0,0,0,2,2
10269,268,10269,2.6904351065447987,0,70368744177664.0,0,0,2,2
10270,269,10270,2.6904351065447987,0,90000000000,0,0,2,2
10271,270,10271,2.6904351065447845,0,-70368744177664.0,0,0,2,2
10272,271,10272,2.6904351065447987,0,70368744177664.0,0,0,2,2
10273,272,10273,2.6904351065447987,0,90000000000,0,0,2,2
10274,273,10274,2.6904351065447862,0,-80421421917330.28,0,0,2,2
10275,274,10275,2.690435106544797,0,93824992236885.33,0,0,2,2
10276,275,10276,2.6904351065447987,0,562949953421312.0,0,0,2,2
10277,276,10277,2.6904351065447862,0,-80421421917330.28,0,0,2,2
10278,277,10278,2.690435106544797,0,93824992236885.33,0,0,2,2
10279,278,10279,2.6904351065447987,0,562949953421312.0,0,0,2,2
10280,279,10280,2.6904351065447862,0,-80421421917330.28,0,0,2,2
10281,280,10281,2.6904351065447987,0,80421421917330.28,0,0,2,2
10282,281,10282,2.7663590662659745,0,13.171072790097005,0,0,2,2
10283,282,10283,2.766116908791546,0,-4129.544224721026,0,0,2,2
10284,283,10284,2.7636426992958754,0,-404.1694940343048,0,0,2,2
10285,284,10285,2.7634666575090794,0,-5680.469496477813,0,0,2,2
10286,285,10286,2.7919210535091983,0,35.14395455787645,0,0,2,2
10287,286,10287,2.7919210535091894,0,-112589990684262.4,0,0,2,2
