PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10449,0,0,-5.785,-69.142,-174.2,0,0,0,0
10450,0,0,-5.78,-69.145,-175.2,0,0,0,0
10451,0,0,-5.775,-69.149,-176.2,0,0,0,0
10452,0,0,-5.77,-69.152,-177.201,0,0,0,0
10453,0,0,-5.765,-69.155,-178.201,0,0,0,0
10454,0,0,-5.761,-69.159,-179.201,0,0,0,0
10455,0,0,-5.756,-69.162,-180.201,0,0,0,0
10456,0,0,-5.751,-69.165,-181.201,0,0,0,0
10457,0,0,-5.746,-69.169,-182.201,0,0,0,0
10458,0,0,-5.741,-69.172,-183.201,0,0,0,0
10459,0,0,-5.736,-69.176,-184.202,0,0,0,0
