PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
289,0,0,-22.003,-45.123,1371.67,0,0,0,0
290,0,0,-22.022,-44.895,1373.177,0,0,0,0
291,0,0,-22.049,-44.724,1375.209,0,0,0,0
292,0,0,-22.068,-44.498,1376.691,0,0,0,0
293,0,0,-22.082,-44.412,1377.734,0,0,0,0
294,0,0,-22.101,-44.185,1379.228,0,0,0,0
295,0,0,-22.115,-44.072,1380.272,0,0,0,0
296,0,0,-22.132,-43.838,1381.673,0,0,0,0
297,0,0,-22.145,-43.671,1382.664,0,0,0,0
298,0,0,-22.164,-43.397,1384.244,0,0,0,0
299,0,0,-22.189,-43.092,1386.208,0,0,0,0
300,0,0,-22.201,-42.935,1387.198,0,0,0,0
301,0,0,-22.214,-42.777,1388.188,0,0,0,0
302,0,0,-22.226,-42.62,1389.178,0,0,0,0
303,0,0,-22.239,-42.462,1390.168,0,0,0,0
304,0,0,-22.251,-42.305,1391.158,0,0,0,0
305,0,0,-22.263,-42.147,1392.148,0,0,0,0
306,0,0,-22.276,-41.99,1393.138,0,0,0,0
307,0,0,-22.288,-41.832,1394.128,0,0,0,0
308,0,0,-22.3,-41.675,1395.118,0,0,0,0
309,0,0,-22.313,-41.517,1396.108,0,0,0,0
310,0,0,-22.325,-41.359,1397.098,0,0,0,0
311,0,0,-22.338,-41.202,1398.088,0,0,0,0
312,0,0,-22.35,-41.044,1399.078,0,0,0,0
313,0,0,-22.362,-40.887,1400.067,0,0,0,0
314,0,0,-22.375,-40.729,1401.057,0,0,0,0
315,0,0,-22.387,-40.572,1402.047,0,0,0,0
316,0,0,-22.4,-40.414,1403.037,0,0,0,0
317,0,0,-22.412,-40.257,1404.027,0,0,0,0
318,0,0,-22.424,-40.099,1405.017,0,0,0,0
319,0,0,-22.437,-39.942,1406.007,0,0,0,0
320,0,0,-22.449,-39.784,1406.997,0,0,0,0
321,0,0,-22.462,-39.627,1407.987,0,0,0,0
322,0,0,-22.474,-39.469,1408.977,0,0,0,0
323,0,0,-22.486,-39.312,1409.967,0,0,0,0
324,0,0,-22.499,-39.154,1410.957,0,0,0,0
325,0,0,-22.511,-38.997,1411.947,0,0,0,0
326,0,0,-22.524,-38.839,1412.937,0,0,0,0
327,0,0,-22.536,-38.681,1413.926,0,0,0,0
328,0,0,-22.548,-38.524,1414.916,0,0,0,0
329,0,0,-22.561,-38.366,1415.906,0,0,0,0
330,0,0,-22.573,-38.209,1416.896,0,0,0,0
331,0,0,-22.586,-38.051,1417.886,0,0,0,0
332,0,0,-22.598,-37.894,1418.876,0,0,0,0
333,0,0,-22.61,-37.736,1419.866,0,0,0,0
334,0,0,-22.623,-37.579,1420.856,0,0,0,0
335,0,0,-22.635,-37.421,1421.846,0,0,0,0
336,0,0,-22.648,-37.264,1422.836,0,0,0,0
337,0,0,-22.66,-37.106,1423.826,0,0,0,0
338,0,0,-22.696,-36.561,1426.812,0,0,0,0
339,0,0,-22.714,-36.302,1428.247,0,0,0,0
340,0,0,-23.296,-162.536,1346.592,0,0,0,0
341,0,0,-23.257,-160.179,1346.239,0,0,0,0
342,0,0,-23.232,-158.662,1346.012,0,0,0,0
343,0,0,-23.208,-157.166,1345.788,0,0,0,0
344,0,0,-23.16,-154.23,1345.348,0,0,0,0
345,0,0,-23.111,-151.295,1344.909,0,0,0,0
346,0,0,-23.082,-149.547,1344.607,0,0,0,0
347,0,0,-23.065,-148.528,1344.436,0,0,0,0
348,0,0,-23.048,-147.51,1344.264,0,0,0,0
349,0,0,-23.031,-146.491,1344.093,0,0,0,0
350,0,0,-23.014,-145.473,1343.922,0,0,0,0
351,0,0,-22.997,-144.454,1343.751,0,0,0,0
352,0,0,-22.98,-143.436,1343.58,0,0,0,0
353,0,0,-22.963,-142.417,1343.408,0,0,0,0
354,0,0,-22.947,-141.399,1343.237,0,0,0,0
355,0,0,-22.93,-140.38,1343.066,0,0,0,0
356,0,0,-22.913,-139.362,1342.895,0,0,0,0
357,0,0,-22.896,-138.343,1342.724,0,0,0,0
358,0,0,-22.879,-137.325,1342.553,0,0,0,0
359,0,0,-22.862,-136.306,1342.381,0,0,0,0
360,0,0,-22.845,-135.288,1342.21,0,0,0,0
361,0,0,-22.828,-134.269,1342.039,0,0,0,0
362,0,0,-22.811,-133.251,1341.868,0,0,0,0
363,0,0,-22.794,-132.232,1341.697,0,0,0,0
364,0,0,-22.777,-131.213,1341.525,0,0,0,0
365,0,0,-22.76,-130.195,1341.354,0,0,0,0
366,0,0,-22.743,-129.176,1341.183,0,0,0,0
367,0,0,-22.726,-128.158,1341.012,0,0,0,0
368,0,0,-22.709,-127.139,1340.841,0,0,0,0
369,0,0,-22.692,-126.121,1340.67,0,0,0,0
370,0,0,-22.675,-125.102,1340.498,0,0,0,0
371,0,0,-22.658,-124.084,1340.327,0,0,0,0
372,0,0,-22.641,-123.065,1340.156,0,0,0,0
373,0,0,-22.624,-122.047,1339.985,0,0,0,0
374,0,0,-22.607,-121.028,1339.814,0,0,0,0
375,0,0,-22.583,-119.504,1339.627,0,0,0,0
